,News Outlet,Compound,Positive,Neutral,Negative,Text,Date Created
0,@BBCWorld,0.0,0.0,1.0,0.0,US opioid epidemic: 'This is bigger than this town' https://t.co/Og1qqEifT8,Thu Nov 08 20:24:45 +0000 2018
1,@BBCWorld,-0.5423,0.0,0.696,0.304,French cold kills 20-year-old walking cigarettes over Pyrenees https://t.co/0PpAAk5QWw,Thu Nov 08 19:38:37 +0000 2018
2,@BBCWorld,-0.3182,0.0,0.753,0.247,Texas judge releases defendants after election loss https://t.co/0D5lgoL7vw,Thu Nov 08 19:23:33 +0000 2018
3,@BBCWorld,-0.296,0.0,0.784,0.216,Sark Electricity to stop supplying power to island https://t.co/qKmXSEQG89,Thu Nov 08 17:39:38 +0000 2018
4,@BBCWorld,-0.5267,0.0,0.673,0.327,Croatia man hurt after toppling anti-fascist statue https://t.co/NolblYuGEi,Thu Nov 08 17:35:07 +0000 2018
5,@BBCWorld,0.2263,0.147,0.853,0.0,"BBC and UK taxpayers should fund Manx Radio, Tynwald report recommends https://t.co/UqWeKSgq0E",Thu Nov 08 17:27:11 +0000 2018
6,@BBCWorld,-0.4019,0.156,0.567,0.277,Syria war: Army frees 19 IS hostages - state media https://t.co/pBA2WMdUy7,Thu Nov 08 16:57:38 +0000 2018
7,@BBCWorld,-0.4767,0.0,0.659,0.341,Mid-terms 2018: When voting goes wrong https://t.co/2o7z6krySR,Thu Nov 08 16:24:13 +0000 2018
8,@BBCWorld,-0.5574,0.0,0.566,0.434,Delhi smog: Are Diwali fireworks to blame? https://t.co/95JKZKNkvV,Thu Nov 08 16:12:41 +0000 2018
9,@BBCWorld,0.0,0.0,1.0,0.0,RT @bbcweather: Have a generic question about the weather? Tweet us and we'll try and answer it on air tomorrow afternoon! Jo https://t.co/…,Thu Nov 08 15:25:56 +0000 2018
10,@BBCWorld,0.0,0.0,1.0,0.0,"RT @BBCBreaking: Thousand Oaks gunman identified as 28-year-old military veteran, Ian David Long, police say https://t.co/SXXQmZ7qO5",Thu Nov 08 15:16:02 +0000 2018
11,@BBCWorld,0.5574,0.146,0.854,0.0,"RT @BBCBreaking: US Supreme Court judge Ruth Bader Ginsburg, 85, has fractured three ribs after a fall on Wednesday, the court says https:/…",Thu Nov 08 14:34:14 +0000 2018
12,@BBCWorld,0.6705,0.355,0.645,0.0,US man wins three times in one day playing scratch cards https://t.co/TPe8EWOqI9,Thu Nov 08 13:36:00 +0000 2018
13,@BBCWorld,0.0,0.0,1.0,0.0,Iraq's PM picks five ministers from online applications https://t.co/vX1B4xM25k,Thu Nov 08 13:26:18 +0000 2018
14,@BBCWorld,-0.5719,0.0,0.684,0.316,"Hundreds of buffaloes drown 'fleeing lions' in Botswana 

https://t.co/3t7kXDxzV0",Thu Nov 08 13:09:25 +0000 2018
15,@BBCWorld,0.0,0.0,1.0,0.0,"Charting the rise of women in Congress after #midterms2018

https://t.co/IZc5ZVLiKp https://t.co/Ybu4mVhRAm",Thu Nov 08 12:35:05 +0000 2018
16,@BBCWorld,-0.1877,0.0,0.821,0.179,Simon Coveney: Brexit border deal 'not for granted' https://t.co/W4WJPoY7ii,Thu Nov 08 12:29:44 +0000 2018
17,@BBCWorld,-0.6486,0.0,0.677,0.323,"Family found dead near broken-down vehicle in Australian outback

https://t.co/hu5RbVKuq6",Thu Nov 08 12:20:12 +0000 2018
18,@BBCWorld,-0.926,0.0,0.526,0.474,"RT @BBCBreaking: Thousand Oaks shooting latest

•  12 dead
•  At least 10 injured
•  Suspect found dead at scene

https://t.co/SXXQmZ7qO5 h…",Thu Nov 08 11:57:33 +0000 2018
19,@BBCWorld,-0.8442,0.0,0.331,0.669,Spain Sánchez 'attack plot': Police arrest gun suspect https://t.co/yBPxqby6DG,Thu Nov 08 11:50:18 +0000 2018
20,@BBCWorld,0.0,0.0,1.0,0.0,"How did Donald Trump and Jeff Sessions' relationship turn sour?
[Tap to expand]
https://t.co/VeCU5tPkYR https://t.co/amp7qLmHyU",Thu Nov 08 11:28:42 +0000 2018
21,@BBCWorld,-0.6705,0.0,0.757,0.243,"RT @BBCBreaking: Twelve people killed, including a police officer, in Thousand Oaks shooting, California

https://t.co/SXXQmZ7qO5 https://t…",Thu Nov 08 11:13:59 +0000 2018
22,@BBCWorld,0.0,0.0,1.0,0.0,Russian AS Monaco owner Rybolovlev under formal investigation https://t.co/UuQxrxltqi,Thu Nov 08 11:10:33 +0000 2018
23,@BBCWorld,-0.5719,0.0,0.684,0.316,Hundreds of buffaloes drown 'fleeing lions' in Botswana https://t.co/PrpGH2Qq7n,Thu Nov 08 11:03:30 +0000 2018
24,@BBCWorld,-0.7906,0.0,0.462,0.538,Trump-Russia probe 'under threat' after Sessions fired https://t.co/63lkHTYMmY,Thu Nov 08 10:41:39 +0000 2018
25,@BBCWorld,-0.6705,0.0,0.78,0.22,"RT @BBCBreaking: Several people killed in shooting at bar in Thousand Oaks, California, police say 

https://t.co/SXXQmZ7qO5 https://t.co/m…",Thu Nov 08 10:36:45 +0000 2018
26,@BBCWorld,-0.4215,0.0,0.648,0.352,Helge Ingstad: Warship collides with tanker in fjord https://t.co/Ytejs6BlP4,Thu Nov 08 10:24:33 +0000 2018
27,@BBCWorld,0.2263,0.135,0.727,0.138,"RT @bbcweather: On this day five years ago, in the pre-dawn darkness, Super Typhoon Haiyan struck the province of Leyte in the central Phil…",Thu Nov 08 10:05:56 +0000 2018
28,@BBCWorld,0.3182,0.119,0.881,0.0,"RT @BBCSport: India cricket captain Virat Kohli is embroiled in controversy after lashing out at a cricket fan.

Read👉https://t.co/H3dQU1rq…",Thu Nov 08 08:56:28 +0000 2018
29,@BBCWorld,0.0,0.0,1.0,0.0,'Mass shooting' at California bar https://t.co/bPMB8msK2J,Thu Nov 08 08:30:35 +0000 2018
30,@BBCWorld,-0.0516,0.0,0.87,0.13,Virat Kohli causes uproar with 'leave India' comment https://t.co/zXpLytDL1a,Thu Nov 08 08:28:18 +0000 2018
31,@BBCWorld,0.0,0.0,1.0,0.0,Australia ramps up Pacific spending amid China debate https://t.co/czFCKgpx5e,Thu Nov 08 07:11:57 +0000 2018
32,@BBCWorld,-0.296,0.0,0.761,0.239,Deadly smog returns to Delhi after Diwali https://t.co/jvSCQqAgFG,Thu Nov 08 05:15:41 +0000 2018
33,@BBCWorld,-0.6486,0.0,0.699,0.301,Australia deaths: Family found dead near broken-down vehicle in outback https://t.co/rtH1PE0iX8,Thu Nov 08 04:49:05 +0000 2018
34,@BBCWorld,0.0,0.0,1.0,0.0,White House suspends credentials for CNN's Jim Acosta https://t.co/rtg0botPnL,Thu Nov 08 01:12:36 +0000 2018
35,@BBCWorld,0.0,0.0,1.0,0.0,'El Chapo' Guzman: Dozen jurors picked for drug trial https://t.co/HjDlWauKCD,Thu Nov 08 01:07:34 +0000 2018
36,@BBCWorld,-0.4767,0.0,0.709,0.291,"Dutch man, 69, brings lawsuit to lower his age 20 years https://t.co/tjsZ6xaRA3",Thu Nov 08 00:22:09 +0000 2018
37,@BBCWorld,0.0,0.0,1.0,0.0,"RT @BBCNorthAmerica: The women making history in Congress 🇺🇲
[Tap to expand] https://t.co/uGN7AW159C https://t.co/cO8Gszgs4e",Wed Nov 07 23:48:15 +0000 2018
38,@BBCWorld,0.0,0.0,1.0,0.0,Who is Acting US Attorney General Matthew Whitaker? https://t.co/ExbdsR8QMH,Wed Nov 07 22:35:49 +0000 2018
39,@BBCWorld,0.0,0.0,1.0,0.0,Trump fires Sessions - is Mueller next? https://t.co/BCUXOLO4Ln,Wed Nov 07 22:23:49 +0000 2018
40,@BBCWorld,0.4767,0.311,0.583,0.107,The Caribbean honours its overlooked WW1 soldiers https://t.co/vQc9WEW0Mj,Wed Nov 07 22:21:16 +0000 2018
41,@BBCWorld,-0.4939,0.0,0.714,0.286,Canadian bureaucrats sent home twice after spider scare https://t.co/i26YounoXT,Wed Nov 07 22:04:51 +0000 2018
